time,ward_id,scenario_id,avg_speed,congestion_score,queue_length,throughput,inflow,outflow,waiting_time,incident_flag,ambulance_flag,pressure,city_cap,ppo_action,ppo_action_id,area_directive,city_directive
29,ward_072,normal,0.0,1.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
29,ward_017,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
29,ward_018,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
30,ward_070,normal,8.241798898602527,0.3333333333333333,1.0,3.0,1.0,0.0,5.666666666666667,0.0,0.0,0.0,1.0,HOLD_COMMERCIAL_INFLOW,6,0.0,1.0
30,ward_071,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
30,ward_072,normal,0.0,1.0,3.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,RELEASE_HELD_FLOW,7,0.0,1.0
30,ward_017,normal,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
30,ward_018,normal,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
31,ward_070,normal,5.741798898602526,0.3333333333333333,1.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,HOLD_COMMERCIAL_INFLOW,6,0.0,1.0
31,ward_071,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
31,ward_072,normal,0.0,1.0,3.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,RELEASE_HELD_FLOW,7,0.0,1.0
31,ward_017,normal,1.7275425131432711,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
31,ward_018,normal,1.7275425131432711,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REROUTE_HEAVY_VEHICLES,9,0.0,1.0
