time,avg_speed,congestion_score,queue_length,throughput,trip_completion,travel_time,waiting_time,ambulance_delay,incident_delay,reroute_count
126,1.2160357708483436,0.8315686274509803,32.0,0.0,0.0,0.0,46.44699346405229,56.529411764705884,0.0,25
127,1.2869895143030603,0.8315686274509803,32.0,0.0,0.0,0.0,47.278562091503275,57.470588235294116,0.0,25
128,1.3916883518482237,0.8537908496732026,33.0,0.0,0.0,0.0,48.13235294117647,58.411764705882355,0.0,25
129,1.4692684152230968,0.8537908496732026,33.0,0.0,0.0,0.0,48.98614379084967,59.35294117647059,0.0,25
130,1.5090527377495324,0.8537908496732026,33.0,0.0,0.0,0.0,49.83993464052288,60.294117647058826,0.0,25
131,1.3245770425749177,0.8704575163398692,35.0,0.0,0.0,0.0,47.29372549019608,61.23529411764706,61.23529411764706,25
132,1.515863601653603,0.797124183006536,33.0,0.0,0.0,0.0,48.09084967320261,62.1764705882353,62.1764705882353,25
133,1.5931367789348865,0.797124183006536,33.0,0.0,0.0,0.0,48.88797385620915,63.11764705882353,63.11764705882353,25
134,1.433412180301761,0.797124183006536,33.0,0.0,0.0,0.0,49.68509803921569,64.05882352941177,109.72549019607843,25
135,1.5273894324739659,0.797124183006536,33.0,0.0,0.0,0.0,50.48222222222223,65.0,111.44444444444444,25
136,1.320932102628064,0.797124183006536,33.0,0.0,0.0,0.0,51.279346405228765,65.94117647058823,113.16339869281046,25
137,1.1458454494092396,0.797124183006536,33.0,0.0,0.0,0.0,52.076470588235296,66.88235294117646,114.88235294117646,25
138,1.0638196526049066,0.8704575163398692,35.0,0.0,0.0,0.0,52.94692810457516,67.82352941176471,116.6013071895425,25
139,1.0462607630336171,0.8926797385620914,36.0,0.0,0.0,0.0,53.83960784313725,68.76470588235294,118.43137254901961,25
140,1.0608483039654222,0.8926797385620914,36.0,0.0,0.0,0.0,54.732287581699346,69.70588235294117,120.26143790849673,25
141,0.8889757915514981,0.9044444444444444,37.0,0.0,0.0,0.0,55.63673202614378,70.70588235294117,122.15032679738562,25
142,0.8078377616670218,0.9044444444444444,37.0,0.0,0.0,0.0,56.54117647058824,71.70588235294117,124.0392156862745,25
143,0.8383279878405551,0.9044444444444444,38.0,0.0,0.0,0.0,56.637777777777785,68.66666666666667,121.88888888888889,25
144,1.0073328230170737,0.8939181286549707,38.0,0.0,0.0,0.0,56.79836257309942,65.94736842105263,120.05847953216374,25
145,0.7349512705872646,0.883391812865497,37.0,0.0,0.0,0.0,57.681754385964915,66.84210526315789,121.84210526315789,25
146,0.4379927268430978,0.883391812865497,37.0,0.0,0.0,0.0,58.565146198830405,67.73684210526316,123.62573099415205,25
147,0.280853764817521,0.883391812865497,37.0,0.0,0.0,0.0,59.4485380116959,68.63157894736842,125.40935672514621,25
148,0.30601598865812013,0.883391812865497,37.0,0.0,0.0,0.0,60.331929824561406,69.52631578947368,127.19298245614036,25
149,0.27749438529569076,0.9589473684210527,40.0,0.0,0.0,0.0,60.11754385964913,70.42105263157895,123.12105263157895,25
150,0.3435879644129797,0.9389473684210525,39.0,0.0,0.0,0.0,61.056491228070186,71.3157894736842,124.8157894736842,30
151,0.36778512546721515,0.9389473684210525,39.0,0.0,0.0,0.0,61.99543859649124,72.21052631578948,126.51052631578948,30
152,0.33982354199275633,0.9389473684210525,39.0,0.0,0.0,0.0,62.93438596491228,73.10526315789474,128.20526315789473,30
153,0.3247963052420833,0.9389473684210525,39.0,0.0,0.0,0.0,63.873333333333335,74.0,129.9,30
154,0.34770688010419437,0.9589473684210527,40.0,0.0,0.0,0.0,64.8322807017544,74.89473684210526,131.69473684210527,30
155,0.34791153186873347,0.9589473684210527,40.0,0.0,0.0,0.0,65.79122807017544,75.78947368421052,133.4894736842105,30
156,0.33433041331570035,0.9589473684210527,40.0,0.0,0.0,0.0,66.7501754385965,76.6842105263158,135.2842105263158,30
