time,avg_speed,congestion_score,queue_length,throughput,trip_completion,travel_time,waiting_time,ambulance_delay,incident_delay,reroute_count
128,1.6369653212765436,0.8514285714285714,30.0,0.0,0.0,0.0,42.78809523809524,0.0,0.0,25
129,1.621163180115449,0.8514285714285714,30.0,0.0,0.0,0.0,43.639523809523816,0.0,0.0,25
130,1.641599449667575,0.8514285714285714,30.0,0.0,0.0,0.0,44.49095238095238,0.0,0.0,25
131,1.6204490487457277,0.8514285714285714,30.0,0.0,0.0,0.0,45.34238095238095,0.0,0.0,25
132,1.4409246590663631,0.8514285714285714,30.0,0.0,0.0,0.0,46.19380952380952,0.0,0.0,25
133,1.1288893456950606,0.8514285714285714,30.0,0.0,0.0,0.0,47.0452380952381,0.0,0.0,25
134,0.808424327742903,0.8514285714285714,30.0,0.0,0.0,0.0,47.89666666666666,0.0,53.0,25
135,0.5306457020775912,0.8514285714285714,30.0,0.0,0.0,0.0,48.748095238095246,0.0,53.857142857142854,25
136,0.44168230333683606,0.8514285714285714,30.0,0.0,0.0,0.0,49.59952380952381,0.0,54.714285714285715,25
137,0.3906925099007005,0.9580952380952381,32.0,0.0,0.0,0.0,50.55761904761905,0.0,55.57142857142857,25
138,0.3478335670415743,0.9580952380952381,32.0,0.0,0.0,0.0,51.51571428571428,0.0,56.42857142857143,25
139,0.31649861565414134,0.9714285714285715,33.0,0.0,0.0,0.0,52.48714285714285,0.0,57.285714285714285,25
140,0.31347982258431184,0.9714285714285715,33.0,0.0,0.0,0.0,53.45857142857143,0.0,58.142857142857146,25
141,0.31261550956571654,0.9714285714285715,33.0,0.0,0.0,0.0,54.42999999999999,0.0,123.0,25
142,0.31524504342555465,0.9714285714285715,33.0,0.0,0.0,0.0,55.401428571428575,0.0,124.85714285714286,25
143,0.3096922657389992,0.9714285714285715,34.0,0.0,0.0,0.0,55.54785714285714,0.0,122.58928571428572,25
144,0.3445982700908789,0.9589285714285716,33.0,0.0,0.0,0.0,56.506785714285705,0.0,124.38392857142857,25
145,0.3719488493108074,0.9589285714285716,33.0,0.0,0.0,0.0,57.465714285714284,0.0,126.17857142857143,25
146,0.4002329173482721,0.9589285714285716,33.0,0.0,0.0,0.0,58.42464285714285,0.0,127.97321428571428,25
147,0.420642638528811,0.9589285714285716,33.0,0.0,0.0,0.0,59.38357142857143,0.0,129.76785714285714,25
148,0.42578501667046603,0.9589285714285716,33.0,0.0,0.0,0.0,60.342499999999994,0.0,131.5625,25
149,0.39200270099706785,0.9625,34.0,0.0,0.0,0.0,59.654999999999994,0.0,125.125,25
150,0.43863974818577367,0.9375,33.0,0.0,0.0,0.0,60.592499999999994,0.0,126.8125,30
151,0.4775474449195138,0.9375,33.0,0.0,0.0,0.0,61.529999999999994,0.0,128.5,30
152,0.3992616877873972,0.9375,33.0,0.0,0.0,0.0,62.467499999999994,0.0,130.1875,30
153,0.394872911734105,0.9375,33.0,0.0,0.0,0.0,63.404999999999994,0.0,131.875,30
154,0.34427248040884695,0.9625,34.0,0.0,0.0,0.0,64.36749999999999,0.0,133.6875,30
155,0.3825340728132275,0.9625,34.0,0.0,0.0,0.0,65.33,0.0,135.5,30
156,0.3893293571486308,0.9625,34.0,0.0,0.0,0.0,66.29249999999999,0.0,137.3125,30
157,0.40229573570042215,0.9625,34.0,0.0,0.0,0.0,67.255,0.0,139.125,30
158,0.3970228955303489,0.9625,34.0,0.0,0.0,0.0,68.2175,0.0,140.9375,30
159,0.39079733303394704,0.9625,34.0,0.0,0.0,0.0,69.17999999999999,0.0,142.75,30
160,0.39529545582070086,0.9625,34.0,0.0,0.0,0.0,70.1425,0.0,144.5625,30
